Organizations,slogan,tech,topic,website,descripton,link,ideas
QC Devs,Sustainable software for quantum chemistry & more,"python, github, c++, julia, jupyter","data science, scientific visualization, quantum chemistry, Computational Science, numerical algorithms",https://qcdevs.org/,"QC-Devs develops free, open-source, and cross-platform libraries for the computational sciences, focusing on theoretical and computational chemistry. Our goal is to make programming accessible to students and researchers, to catalyze scientific collaborations, and to promote precepts of sustainable software development. We're adapting some of the same principles to develop free and open-source educational materials (qc-edu.org) to modernize scientific education by integrating hands-on computation and computer programming.",https://qcdevs.org/join/qcdevs_gsoc/#contributor-guidance,https://qcdevs.org/join/qcdevs_gsoc/
QEMU,Open source machine emulator and virtualizer,"c, python, linux, rust","systems programming, kernel, compiler, emulator, hypervisor",https://qemu.org/,"The QEMU Project includes the QEMU open source machine emulator and virtualizer and also acts as an umbrella organization for the KVM Linux kernel module and rust-vmm community. When used as a machine emulator, QEMU can run operating systems and programs made for one machine (e.g. an ARM board) on a different machine (e.g. your own PC). By using dynamic translation, it achieves very good performance. When used as a virtualizer, QEMU achieves near native performances by executing the guest code directly on the host CPU. QEMU supports virtualization when executing under the Xen hypervisor or using the KVM kernel module in Linux. When using KVM, QEMU can virtualize x86, ARM, server and embedded PowerPC, and S390 guests.",https://wiki.qemu.org/Google_Summer_of_Code_2025,https://wiki.qemu.org/Google_Summer_of_Code_2025
R project for statistical computing,R software for statistical computing & graphics,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",https://www.r-project.org/,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology. R is an integrated suite of software facilities for data manipulation, calculation and graphical display. It includes * an effective data handling and storage facility, * a suite of operators for calculations on arrays, in particular matrices, * a large, coherent, integrated collection of intermediate tools for data analysis, * graphical facilities for data analysis and display either on-screen or on hardcopy, and * a well-developed, simple and effective programming language which includes conditionals, loops, user-defined recursive functions and input and output facilities. The term “environment” is intended to characterize it as a fully planned and coherent system, rather than an incremental accretion of very specific and inflexible tools, as is frequently the case with other data analysis software. R, like S, is designed around a true computer language, and it allows users to add additional functionality by defining new functions. Much of the system is itself written in the R dialect of S, which makes it easy for users to follow the algorithmic choices made. For computationally-intensive tasks, C, C++ and Fortran code can be linked and called at run time. Advanced users can write C code to manipulate R objects directly. Many users think of R as a statistics system. We prefer to think of it of an environment within which statistical techniques are implemented. R can be extended (easily) via packages. There are about eight packages supplied with the R distribution and many more are available through the CRAN family of Internet sites covering a very wide range of modern statistics. R has its own LaTeX-like documentation format, which is used to supply comprehensive documentation, both on-line in a number of formats and in hardcopy.",https://github.com/rstats-gsoc/gsoc2022/wiki,https://github.com/rstats-gsoc/gsoc2025/wiki/table-of-proposed-coding-projects
Rizin,Rizin reverse engineering framework and toolset,"c, python, go, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly",https://rizin.re,"The Rizin project is a fork of the famous Radare2 project that started in 2006. Since then the codebase has been rewritten multiple times, modularized and extended to support many new features. The Rizin project aims to provide stability, focus on the most important features, and provide a user friendly interface. Along with Cutter - a Qt-based GUI and the RzGhidra decompiler it makes the effective tool for everyday reversing tasks. Rizin is composed of a hexadecimal editor at its core, with support for several architectures and binary formats. It features code analysis capabilities, scripting, data and code visualization through graphs and other means, a visual mode, easy UNIX integration, a binary diffing engine for code and data, a shellcode compiler, multi-platform debug with reverse debug capabilities and much, much more!",https://rizin.re/gsoc/2024,https://rizin.re/gsoc/2025/
rocket.chat,Open source communications platform for the AI age,"javascript, typescript, node, LLM, generative ai","communications, messaging, group chat, Team Collaboration, Chat platform",https://github.com/RocketChat,"Open source team chat and communications platform Rocket.Chat is one of the largest active open source (permissive MIT license) nodeJS communications platform communities on GitHub, connecting 2,500+ global community contributors (across projects) from 30+ countries, with 41,700+ GitHub stars, 11,100 forks, 1,005+ total releases and 15,100+ issues since inception in 2015. Rocket.Chat is a team chat platform written in full-stack Typescript. It offers a fully featured team chat experience on modern browsers, comparable to Slack and Microsoft Teams. Mobile and desktop clients run on iOS, Android, Mac, Windows, and Linux. The server can scale from a small family messaging server for 5 users on a Raspberry Pi 5, to clustered micro-services configuration that can support hundred thousands of users. On-premises Rocket.Chat can ensure 100% complete security and privacy of your valuable communications/data. Rocket.Chat is now installed on over 500k servers and counts over 12m users worldwide. Federated communication support extends our reach exponentially. Users can set up Rocket.Chat on cloud or by hosting their own servers on-premises. Thanks to its extension support via Rocket.Chat Apps, and rich APIs, startups and innovators have customized Rocket.Chat into new products and services. Omnichannel extends reach to wherever user may be including WhatsApp, Instagram, Facebook Messenger and more. Increasingly, innovators in Generative AI and LLM app developers are launching their concepts on the Rocket.Chat platform to keep all data flows and communications 100% private and secure. Rocket.Chat has won multiple prizes such as a 2016 Bossie Award for Best Open Source Application and first prize in the 2017 edition of All Things Open’s Startup Competition. Rocket.Chat's community interacts 24 x 7 at the community Rocket.Chat server https://open.rocket.chat since 2015.",https://github.com/RocketChat/google-summer-of-code/blob/main/google-summer-of-code-2025.md#how-to-apply,https://github.com/RocketChat/google-summer-of-code/blob/main/google-summer-of-code-2025.md#-project-ideas
Rspamd,Rspamd is an email framework and spam filter,"c, lua, c++, rust, clickhouse","email, spam filtering",https://www.rspamd.com,"Rspamd is an email framework and spam filter
We are supporting and maintaining Rspamd: an Open Source email processing framework and spam filter.",https://github.com/rspamd/rspamd/blob/master/CONTRIBUTING.md,https://rspamd.com/gsoc2025_ideas.html
RTEMS Project,A real-time operating system for Earth & Space,"python, c/c++, assembly, posix","kernel, embedded, real-time, multicore, rtos",https://www.rtems.org/,"RTEMS (Real-Time Executive for Multiprocessor Systems) is a free real-time operating system (RTOS) designed for deeply embedded systems such as automobile electronics, robotic controllers, and on-board satellite instruments. RTEMS is free open source software that supports multi-processor systems for over a dozen CPU architectures and over 150 specific system boards. In addition, RTEMS is designed to support embedded applications with the most stringent real-time requirements while being compatible with open standards such as POSIX. RTEMS includes optional functional features such as TCP/IP and file systems while still offering minimum executable sizes under 20 KB in useful configurations. The RTEMS Project is the collection of individuals, companies, universities, and research institutions that collectively maintain and enhance the RTEMS software base. As a community, we are proud to be popular in the space application software and experimental physics communities. RTEMS has been to Venus, circles Mars, is aboard Curiosity, is in the asteroid belt, is on its way to Jupiter, and is circling the sun. It is in use in many high energy physics research labs around the world. There are many RTEMS users who do not belong to the space or physics communities, but our small part in contributing to basic scientific knowledge makes us proud.",https://projects.rtems.org/gsoc/,https://projects.rtems.org/gsoc/
SageMath,Open-source mathematics software system,"python, cython","mathematics, education, research",https://www.sagemath.org,"Mathematicians, scientists, researchers, and students need a powerful tool for their work or study. SageMath is a freely available open-source mathematical software system bundling the functionality of many software libraries, exposing their features in a common interface and extending on top of this with its own powerful algorithms. By leveraging the flexibility and universality of the underlying Python interpreter, SageMath is able to accommodate for a vast range of their requirements. The mission of SageMath is to create a viable open-source alternative to all major proprietary mathematical software systems. Python is the main programming language inside the SageMath library and also the language of choice for all interactions with the built-in objects and functions for expressing mathematical concepts and calculations. Besides a command-line and programming-library interface, its primary user interface is a dynamic self-hosted website. From the perspective of a user, the interface language is Python, but with a thin extension built directly on top of it. Almost all areas of mathematics are represented in SageMath, at various levels of sophistication. This includes symbolic calculus, 2D and 3D graphics, polynomials, graph theory, group theory, abstract algebra, combinatorics, cryptography, elliptic curves and modular forms, numerical mathematics, linear algebra and matrix calculations (over various rings), support for parallel computing, and a powerful coercion framework to “mix” elements from different sets for calculations. SageMath’s features also expand into neighboring fields like Statistics and Physics.",https://wiki.sagemath.org/GSoC/Contributors,https://wiki.sagemath.org/GSoC/2025
Scala Center,Guide and support the Scala community,"jvm, functional programming, scala, scala.js, scala native","education, compilers, web, tooling, gpu",https://scala-lang.org/,"We are an independent not-for-profit center established at EPFL. Scala Center's Mission is to guide and support the Scala community, coordinate and develop open-source libraries and tools for the benefit of all Scala users, provide deep, and quality, educational materials for Scala.",https://google.github.io/gsocguides/student/writing-a-proposal,https://github.com/scalacenter/GoogleSummerOfCode
ScummVM,Adventure and RPG preservation project,"python, opengl, c++, assembly, php","games, game engines, software preservation, software archeology",https://www.scummvm.org/,"ScummVM is a game preservation project with a quickly growing code base since more than 20 years. Originally focused on 2D Point&Click adventure games, its scope widened in 2016 to RPG thanks to successful GSoC students and to 3D games in 2020 after the merge with its sister project, ResidualVM. The purpose is only to replace the game executable, not to enhance or replace the game assets.",https://wiki.scummvm.org/index.php/GSoC_Application,https://wiki.scummvm.org/index.php?title=Summer_of_Code/GSoC_Ideas_2025
Society for Arts and Technology ,Technological tools for creativity and industry,"python, javascript, c++, qt, esp32","computer vision, graphics, multimedia, Telepresence, digital arts",https://sat.qc.ca,"The Society for Arts and Technology [SAT] is a non-profit organization recognized internationally for developing and creatively using immersive technologies, computer vision, embedded systems, and connectivity tools. Founded in 1996, its triple mission as a center for the arts, training and research, is to enable and host teleimmersive multisensorial experiences. SAT creates open-source tools for pose detection, orchestration, gestural control, interaction, tele-copresence, audio spatialization, haptic feedback, and immersive multisensory multimedia authoring.",https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/posts/2025-news/2025-share/,https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/categories/ideas/
Software and Computational Systems Lab at LMU Munich,Algorithms and Tooling for Software Verification,"python, javascript, java, grpc, Quarkus","cloud, software verification, benchmarking, program analysis, SAT & SMT solving",https://www.sosy-lab.org/,"The Software and Computational Systems Lab is a research group at LMU Munich, one of the leading universities in Germany. We focus on the development of new models and algorithms to efficiently analyze software systems and emphasize on tool implementations of the theoretical concepts. For GSoC 2024, we propose ideas involving several aspects of software analysis, from implementing and benchmarking verification algorithms to incorporating backend logic solvers. Here is a selection of the open-source projects developed by our group:
CPAchecker is an award-winning framework for formal verification of C programs. It is written in Java and based on a highly modular architecture that allows one to develop and combine a wide range of different analyses. CPAchecker has helped to find hundreds of bugs in the Linux kernel.
CPA-Daemon is a gRPC-based microservice that enables users to run CPAchecker in a cloud setup, with a focus on ease of use and continuous verification.
JavaSMT is a common API layer for accessing various SMT solvers from Java programs without having to use solver-specific APIs and care about subtle details. It supports the majority of common SMT solvers and is used by a wide range of projects.
PJBDD is a multi-threaded Binary Decision Diagram (BDD) library written in Java. It supports concurrent computation, parallel operations, and automated resource management.
BenchExec is a benchmarking framework (written in Python) that uses modern Linux features such as cgroups and namespaces to create benchmarking containers and measure their resource usage.
For a more detailed description and some prospective GSoC topics, please visit our webpage. You are also welcome to suggest your own ideas!",https://www.sosy-lab.org/gsoc/gsoc2025.php#instructions,https://www.sosy-lab.org/gsoc/gsoc2025.php
SQLancer,Automatically testing database systems,"java, sql","fuzzing, Automated Testing, Logic bugs, Database systems",https://www.sqlancer.com,"SQLancer is an automated testing tool that finds logic bugs in database systems (rather than in the databases themselves). Logic bugs are bugs that cause a database system to compute an incorrect result for a given query and a database on which the query is executed. To that end, SQLancer semi-randomly generates databases and queries, whose results are then automatically validated. SQLancer has found hundreds of bugs in database systems such as SQLite, MySQL, DuckDB, CockroachDB, and TiDB.",https://github.com/sqlancer/sqlancer/wiki/GSoC-2025-Ideas#contributor-guidance,https://github.com/sqlancer/sqlancer/wiki/GSoC-2025-Ideas
St. Jude Children's Research Hospital,Find cures. Saving children.,"rust, WDL","programming languages, genomics, developer tools, cloud",https://stjude.org,"St. Jude Children's Research Hospital is a non-profit research hospital dedicated to advancing cures and means of prevention for children with catastrophic diseases. With respect to Google Summer of Code, we're interested in building modern, open-source infrastructure upon which large-scale scientific analyses can be done (typically focused on bioinformatics or genomics specifically).",https://docs.google.com/document/d/1ze8OpsltCbAkksjmhd3hCeS6VDqAaolAhWAQQRJZBpc/edit?usp=sharing,https://docs.google.com/document/d/1ze8OpsltCbAkksjmhd3hCeS6VDqAaolAhWAQQRJZBpc/edit?tab=t.0
stdlib,The fundamental numerical library for JavaScript,"c, javascript, node.js, typescript, webassembly","mathematics, web, scientific computing, numerical computing, statistics",https://stdlib.io,"stdlib is a standard library for JavaScript and Node.js with an emphasis on numerical and scientific computing applications. The project aims to provide functionality similar to NumPy and SciPy for use in JavaScript environments with special consideration for the unique constraints and opportunities afforded by the Web. stdlib is primarily written in JavaScript, C, and Fortran.",https://github.com/stdlib-js/google-summer-of-code,https://github.com/stdlib-js/google-summer-of-code/blob/main/ideas.md
Stellar group,Shaping a Scalable Future,"c++, hpc","library, optimization, parallel algorithms, hpx, application",http://stellar-group.org/,"The STE||AR Group is an international team of researchers who understand that a new approach to parallel computation is needed. Our work is crafted around the idea that we need to invent new ways to more efficiently use the resources that we have and use the knowledge that we gain to help guide the creation of the machines of tomorrow. This organization aims to support, coordinate, and distribute research done in this area by creating a marketplace of ideas where concepts are debated and solutions are transparently developed.",https://github.com/STEllAR-GROUP/hpx/wiki/GSoC-Submission-Template,https://github.com/STEllAR-GROUP/hpx/wiki/Google-Summer-of-Code-%28GSoC%29-2025#2025-hpx-project-ideas
Stichting SU2,Computational Fluid Dynamics and Optimization,"python, c++","aerodynamics, Computational Fluid Dynamics, Multi-Disciplinary Optimization, Adjoint Design Optimization, Fluid Dynamics",https://su2foundation.org,"Computational analysis tools have revolutionized the way we design engineering systems as a society, but most established codes are proprietary, unavailable, or prohibitively expensive for many users. The SU2 Foundation will change this, making multiphysics analysis and design optimization software free and publicly available, in a single place, without restriction on who can contribute to its creation and development. The SU2 Foundation is an educational and scientific not-for-profit that will bring together computational scientists and engineers through the SU2 Foundation platform. The SU2 Foundation develops, maintains, and supports a collection of C++ and Python-based software tools for performing Partial Differential Equation (PDE) analysis and solving PDE-constrained optimization problems. Through maintaining and improving the quality of software, documentation, and tutorials, and by growing the community of users and developers, the SU2 Foundation will ensure quality improvement of multiphysics software tools, accessible by everyone, for continued innovation in the engineering sciences.",https://www.cfd-online.com/Forums/su2-news-announcements/254365-gsoc-applications-how-apply.html,https://www.cfd-online.com/Forums/su2-news-announcements/259420-gsoc-2025-projects.html
Sugar Labs,Learning software for children,"python, gtk, typescript, javascipt, LLM","education, programming languages, games, desktop, generative AI",https://sugarlabs.org,"Sugar is an activity-focused, free/libre open-source software (FLOSS) learning platform for children. Collaboration, reflection, and discovery are integrated directly into the user interface. Through Sugar's clarity of design, children and teachers have the opportunity to use computers on their own terms. Students can reshape, reinvent, and reapply both software and content into powerful learning activities. Sugar's focus on sharing, constructive criticism, and exploration is grounded in the culture of free software and the ideals of learn-by-doing ""Constructionism"".",https://github.com/sugarlabs/GSoC,https://github.com/sugarlabs/GSoC/blob/master/Ideas-2025.md
SW360,Software supply chain management done right !,"java, react, couchdb, SpringBoot","license compliance, compliance automation, SBOM, component repository, vulnerabilities management",https://eclipse.dev/sw360/,"SW360 is an open source software project licensed under the EPL-2.0 that provides both a web application and a repository to collect, organize and make available information about software components. It establishes a central hub for software components in an organization.",https://eclipse.dev/sw360/docs/development/,https://eclipse.dev/sw360/gsoc/gsoc-projects-2025/
Swift,"Fast, safe, and expressive programming language","c++, cmake, swift","compilers, cross-platform, Packages, Server development, Standard Libraries",https://swift.org,"Swift is a general-purpose programming language built using a modern approach to safety, performance, and software design patterns. The goal of the Swift project is to create the best available language for uses ranging from systems programming, to mobile and desktop apps, scaling up to cloud services. Most importantly, Swift is designed to make writing and maintaining correct programs easier for the developer.",https://www.swift.org/contributing/,https://www.swift.org/gsoc2025/
SymPy,SymPy is a Python library for symbolic mathematics,"python, numpy, jupyter","mathematics, physics, symbolic mathematics",https://www.sympy.org/,SymPy is a Python library for symbolic mathematics. It aims to become a full-featured computer algebra system (CAS) while keeping the code as simple as possible in order to be comprehensible and easily extensible. SymPy is written entirely in Python.,https://github.com/sympy/sympy/wiki/GSoC-Student-Instructions,https://github.com/sympy/sympy/wiki/GSoC-Ideas
Synfig,Open-source 2D animation software,"python, c++, gtk, gtkmm","2d/3d graphics, animation, vector graphics",https://synfig.org,"Synfig is a 2D open-source animation software. It is capable to produce vector artwork and also can work with bitmap images. The main concept of Synfig is ""tweening"" - you can define object positions or shapes of vector objects at certain points of time and program will interpolate in-between frames automatically. You can also use bones to control your animation on higher level. With Synfig you can easily create motion graphics and cut-out animations for product explanation videos, tutorial videos, and more.",https://synfig-docs-dev.readthedocs.io/en/latest/gsoc/2025/getting-started.html,https://github.com/synfig/synfig-docs-dev/blob/master/docs/gsoc/2025/ideas.rst
TARDIS RT Collaboration,Exploring supernovae made easy,"python, numba, numpy, jupyter, pandas","visualization, big data, simulation, astrophysics",https://tardis-sn.github.io,"TARDIS is a tool that creates synthetic observations (spectra) for exploding stars (supernovae). A supernova marks the brilliant death throes of a star, during which it outshines its entire galaxy. Through their explosive stellar death, supernovae enrich the Universe with new elements necessary for the formation of planets and life as we know it. From the iron in your blood to the silicon in your laptop, supernovae are responsible for producing many important elements from the primordial hydrogen and helium left over from the Big Bang. TARDIS provides a link between theory and observations: by creating synthetic spectra from theoretical assumptions and comparing these to observations, we can both interpret data and test models for why, when and how supernova explosions occur. We, the community around TARDIS, are interested in combining astronomy, computer science, statistics and modern software design to build a tool that is useful both in research and teaching alike (with supporting documentation that would, in theory, allow anyone to recreate the project from scratch). Please join us on https://gitter.im/tardis-sn/gsoc.",https://tardis-sn.github.io/summer_of_code/gsoc_home/,https://tardis-sn.github.io/summer_of_code/ideas/
The FreeBSD Project,An OS for servers to embedded devices,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",https://www.freebsd.org/,"FreeBSD is an operating system renowned for its advanced networking capabilities, robust security features, and exceptional performance. It is used across a wide spectrum of computing environments, ranging from the most heavily trafficked websites to desktop computers and embedded devices. Our source code is the foundation for well-known products such as the Sony PlayStation, Junos (the operating system powering Juniper routers), and elements of Apple's macOS. Additionally, FreeBSD runs on servers at Netflix that stream terabits of video content every second. The FreeBSD Project has a rich history spanning over 30 years, originating in 1993 but rooted in work from the Berkeley Computer Systems Research Group dating back to 1978. Over the years, our codebase has undergone continuous development and played an important role in developing essential software components used by numerous open-source projects. Examples include bsnmp, jemalloc, libarchive, and OpenPAM. FreeBSD maintains an active mentoring program to welcome new developers into our vibrant community. With approximately 300 developers with write access to our repositories and numerous other contributors, our community thrives on collaboration and shared expertise. Many of our past Google Summer of Code contributors have transitioned into becoming key members of the FreeBSD development team. Communication within the FreeBSD community occurs through various channels, including mailing lists, forums, blogs, IRC channels, and user groups, all listed on our main website.",https://www.freebsd.org/projects/summerofcode/,https://wiki.freebsd.org/SummerOfCodeIdeas
The Honeynet Project,Honeypots and Threat Intelligence R&D,"python, javascript, django, go, docker","honeypots, malware analysis, Threat Intelligence",https://honeynet.org,"The Honeynet Project is a leading international 501c3 non-profit security research organization, dedicated to investigating the latest attacks and developing open source security tools to improve Internet security. With Chapters around the world, our volunteers have contributed to fight against malware (such as Conficker), discovering new attacks and creating security tools used by businesses and government agencies all over the world. The Honeynet Project uses GSoC as a incubator for new R&D projects, and to recruit active new members.",https://www.honeynet.org/gsoc/,https://www.honeynet.org/gsoc/gsoc-2025/google-summer-of-code-2025-project-ideas/
The JPF team,JPF is a Java VM used to verify and debug software,"android, java, distributed systems, jvm","model checking, symbolic execution, verification of concurrent systems, program analysis, test input generation",https://github.com/javapathfinder/jpf-core/wiki,"The Java Pathfinder (JPF) project was initially conceived and developed at NASA Ames Research Center in 1999. JPF was open sourced in April 2005 as one of the first ongoing NASA development projects to date, and it is now released under the Apache license, 2.0. JPF is an extensible Java virtual machine written in Java itself. It is used to create a variety of verification and debugging tools, ranging from software model checkers to test case generators using symbolic execution. JPF is a research platform and a production tool at the same time. Although JPF has major contributions from companies and government agencies, our main user community is academic - there are ongoing collaborations with more than 20 universities worldwide. The JPF team for GSoC 2024 includes researchers from NASA Ames Research Center, KTH Royal Institute of Technology - Sweden, Carnegie Mellon University, Boise State University, University of Minnesota, Charles University - Czech Republic, and Singapore University of Technology and Design. JPF is designed to be highly extensible. There are well-defined extension mechanisms, directory structures and build procedures, which keep the core relatively stable and provide suitable, well-separated testbeds for new ideas and alternative implementations. As a consequence, we host a number of such extension projects on our own, public JPF server, together with a Wiki that provides a central location for learning about, obtaining, and contributing to JPF. JPF has been used for a variety of application domains and research topics such as verification of multi-threaded applications, graphical user interfaces, networking, and distributed applications. In addition to its continued presence in academia, JPF has matured enough to support verification of production code and frameworks such as Android. JPF is constantly being extended with support for verification of new types of correctness properties and for new types of application domains.",https://github.com/javapathfinder/jpf-core/wiki/JPF-Google-Summer-of-Code-2024,https://github.com/javapathfinder/jpf-core/wiki/GSoC-2025-Project-Ideas
The Julia Language,A fresh approach to technical computing,"machine learning, julia, data science, compilers, garbage-collection","math, artificial intelligence, science, data science, graphs",https://julialang.org,"The Julia Language is an open-source, high level, and dynamic language built to be easy to use like Python while having speed near C++. As an umbrella organization, we house projects related to core Julia (the language) as well as packages from the broader Julia ecosystem.",https://julialang.org/jsoc/guidelines/,https://julialang.org/jsoc/projects/
The Linux Foundation,Non-profit consortium fostering growth of Linux,"c, linux, cups, ai, fuzz-testing","kernel, automotive, printing, iio, zephyr",http://www.linuxfoundation.org/,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Founded in 2007 as a merger of the former Free Standards Group (FSG) and the former Open Source Developer Lab (OSDL), the LF sponsors the work of Linux creator Linus Torvalds and is supported by leading Linux and open source companies and developers from around the world. The Linux Foundation promotes, protects and standardizes Linux by providing unified resources and services needed for open source to successfully compete with closed platforms. For more see our [About page](https://www.linuxfoundation.org/about/). All software produced by us is free software published under OSI-approved licenses. See project ideas page for the license used by each project.",https://wiki.linuxfoundation.org/gsoc/google-summer-code-2025,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2025
The Mifos Initiative,End Poverty One Line of Code at a Time,"android, java, kotlin, spring, angular","artificial intelligence, cloud, fintech, financial inclusion, mobile banking",https://mifos.org,"We are a global 501(c)3 fintech non-profit leveraging the cloud, mobile & open source community to democratize financial services worldwide and digitally transform the world’s 3 billion poor and underbanked. Mifos has pioneered open source banking technology for the past fifteen years transforming the entire sector at each major stage of evolution from microfinance to financial inclusion to digital financial services and now embedded finance. Mifos guides the open source community, steers the roadmap, and stewards the vibrant ecosystem of organizations building solutions on its open platform. Our building blocks for banking, recognized as digital public goods, make core banking commoditized infrastructure, empowering any organization, anywhere to embed any financial service to any customer via any channel. These building blocks provide the common functionalities for creating customers, managing wallets, savings and loan accounts, orchestrating payments, and maintaining the financial ledger & reports. More than 65 million clients are reached by 500+ financial institutions across 70 countries using solutions powered by our APIs.",https://mifosforge.jira.com/wiki/spaces/RES/pages/4456638/Application+Template,https://mifosforge.jira.com/wiki/spaces/RES/pages/4271669249/Google+Summer+of+Code+2025+Ideas
The NetBSD Foundation,Of course it runs NetBSD,"c, shell script, make, unix, bsd","kernel, packaging, userland, unix, bsd",https://www.NetBSD.org/,"NetBSD is a free, fast, secure, and highly portable Unix-like Open Source operating system. It is available for a wide range of platforms, from large-scale servers and powerful desktop systems to handheld and embedded devices. Its clean design and advanced features make it excellent for use in both production and research environments, and the source code is freely available under a business-friendly license. NetBSD is developed and supported by a large and vivid international community. Many applications are readily available through pkgsrc, the NetBSD Packages Collection.",https://wiki.NetBSD.org/projects/gsoc/,https://wiki.netbsd.org/projects/gsoc/
The ns 3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,"python, django, c++","computer networking, network simulation",https://www.nsnam.org,"Are you interested in contributing to a widely-used performance evaluation tool for computer networking research? ns-3 is a *discrete-event, packet-level network simulator* with an emphasis on networking research and education. Users of ns-3 can construct simulations of computer networks using models of traffic generators, protocols such as TCP/IP, and devices and channels such as Wi-Fi and LTE, and analyze or visualize the results. Simulation plays a vital role in the research and education process, because of the ability for simulations to obtain reproducible results (particularly for wireless protocol design), scale to large networks, and study systems that have not yet been implemented. A particular emphasis in ns-3 is a high degree of realism in the models (including frameworks for using real application and kernel code) and integration of the tool with virtual machine environments and testbeds. Very large scale simulations are possible; simulations of hundreds of millions of nodes have been published. ns-3 has been in development since 2005 and has been making regular releases since June 2008. The simulator is written in C++, with bindings for Python scripting, and uses the CMake build system. We use a GPLv2 licensing model and heavily use mailing lists and Zulip chat, but typically not other social media.",https://www.nsnam.org/wiki/GSOC2025ContributorGuide,https://www.nsnam.org/wiki/GSOC2025Projects
The P4 Language Consortium,Evolve the programmable data plane ecosystem!,"llvm, c++, mlir, ebpf, Z3","networking, programming language, compiler, AI/ML Networking, networking security",https://p4.org/,"Programming Protocol-independent Packet Processors (P4) is a domain-specific language for network devices, specifying how data plane devices (switches, NICs, routers, filters, etc.) process packets. Before P4, vendors had total control over the functionality supported in the network. And since networking silicon determined much of the possible behavior, silicon vendors controlled the rollout of new features (e.g., VXLAN), and rollouts took years. P4 turns the traditional model on its head. Application developers and network engineers can now use P4 to implement specific behavior in the network, and changes can be made in minutes instead of years.",https://github.com/p4lang/gsoc/blob/main/2025/contributor_guidance.md,https://github.com/p4lang/gsoc/blob/main/2025/ideas_list.md
The Palisadoes Foundation,Social media and member management for non-profits,"python, postgresql, flutter, graphql, typescript","web, api, networking, ai, mobile",https://www.palisadoes.org,"The Palisadoes Foundation’s open-source software projects support community groups in organizing their daily activities. A significant proportion of our software contributions come from university students studying software engineering. Participants often come from under-served communities or geographic areas and are sponsored through our various programs. This prepares them for the competitive realities of the working world. Life started for us in 2016 when a group of expatriate Jamaicans wanted to assist development of new and existing information technologies for the island’s social good. We knew academic and student leadership wanted greater practical exposure to the latest technology. In response, our pilot Calico program for Jamaican universities was created with the goal of addressing the issues graduates would face when employed. After five years of success, members of the Jamaican diaspora suggested we expand our service area to be global. They saw similar needs in their own under-served communities where the digital divide is very visible and thought our experience in the developing world would be useful. Since 2019 we have focused on creating a mobile app to help community organizations like ourselves better manage their membership. We saw the need for a social media component to keep in contact with our volunteers. We also felt these organizations often faced challenges with the project management of events and keeping track of volunteer abilities, roles and responsibilities. We want to make the app useful for any community-based organization such as clubs, small religious institutions, neighborhood groups, and volunteer associations. We also want to see how the open source software could be installed as a multi-tenant, multi-site cloud hosted service as many of these organizations often don’t have sufficient IT skills to do so independently. We hope that our contributors will help us achieve this goal.",https://developer.palisadoes.org/docs/internships/gsoc/gsoc-introduction,https://developer.palisadoes.org/docs/internships/gsoc/gsoc-ideas/
The Rust Foundation,A language empowering everyone,"python, rust","compilers, programming languages",https://www.rust-lang.org,"The Rust Project is a group of developers and maintainers who build and support the Rust programming language. Organised into teams, they develop new features and mantain the Rust language, its compiler and standard library, and also all kinds of infrastructure that supports Rust. This application is being made by the Rust Foundation, the legal entity for the Rust Programming language, working in close association with representatives from the Rust Project.",https://github.com/rust-lang/google-summer-of-code/blob/main/gsoc/proposal-guide.md,https://github.com/rust-lang/google-summer-of-code
The Tor Project,Defend yourself against tracking and surveillance.,"c, python, web, rust","security, privacy, anti-censorship, Human Rights, Surveillance",https://www.torproject.org/,"We believe everyone should be able to explore the internet with privacy. We are the Tor Project, a 501(c)(3) US nonprofit. We advance human rights and defend your privacy online through free software and open networks.",https://gitlab.torproject.org/tpo/team/-/wikis/How-To-Apply-to-Google-Summer-of-Code,https://gitlab.torproject.org/tpo/team/-/wikis/GSoC
Typelevel,We do functional programming together,"linux, node.js, jvm, scala, wasm","web, functional programming, cloud, AI/ML, cats",https://typelevel.org,"Typelevel is an ecosystem of projects and a community of people united to foster an inclusive, welcoming, and safe environment around functional programming in Scala. We work together to develop projects that apply functional programming to challenging problems relevant in industry. Our community culture embraces curiosity and mentoring and we don't shy away from experimenting with new and exciting ideas. Most of all, we love to make programming joyful and social.",https://typelevel.org/gsoc,https://typelevel.org/gsoc/ideas/
